carparkNo,geometries/0/coordinates,lotsAvailable,lotType,geometries/1/coordinates
S0049,"30812.1957,33019.1062",99,C,
S0049,"30812.1957,33019.1062",13,H,
S0049,"30812.1957,33019.1062",5,M,
C0148,"28716.2498,32600.2734",125,C,
S0171,"28193.7117,28684.7201",100,C,
S0166,"27980.508,48368.2132",13,C,
S0166,"27980.508,48368.2132",10,H,
S0166,"27980.508,48368.2132",10,M,
A0007,"27582.895,31962.0601",210,C,
A0007,"27582.895,31962.0601",0,H,
A0007,"27582.895,31962.0601",0,M,
E0023,"39454.6771,32329.4854",36,C,
E0023,"39454.6771,32329.4854",3,H,
E0023,"39454.6771,32329.4854",0,M,
E0024,"39407.6998,32185.7007",24,C,
E0024,"39407.6998,32185.7007",0,H,
E0024,"39407.6998,32185.7007",0,M,
E0027,"38758.963,32135.3705",284,C,
E0027,"38758.963,32135.3705",0,H,
E0027,"38758.963,32135.3705",0,M,
H0015,"30308.9887,32322.7756",39,C,
H0015,"30308.9887,32322.7756",1,H,
H0015,"30308.9887,32322.7756",8,M,
H0057,"30357.0756,32253.0344",0,C,
H0057,"30357.0756,32253.0344",2,H,
H0057,"30357.0756,32253.0344",2,M,
K0082,"31783.5107,32043.5092",7,C,
K0082,"31783.5107,32043.5092",6,H,
K0082,"31783.5107,32043.5092",5,M,
N0006,"28956.4609,29088.2522",2,C,
N0006,"28956.4609,29088.2522",1,H,
N0006,"28956.4609,29088.2522",0,M,
P0096,"28980.1062,31351.7677",1,C,
P0096,"28980.1062,31351.7677",2,H,
P0096,"28980.1062,31351.7677",0,M,
S0108,"29931.932,33429.8862",19,C,
S0108,"29931.932,33429.8862",1,H,
S0108,"29931.932,33429.8862",3,M,
A0021,"29542.3676,29248.8218",1,C,
C0162,"29246.2593,30706.5089",27,C,
C0162,"29246.2593,30706.5089",0,M,
D0006,"29085.9986,29064.2635",0,C,
J0100,"23792.7911,28505.857",30,C,
J0100,"23792.7911,28505.857",0,M,
M0078,"26559.0302,27674.9872",208,M,
M0078,"26559.0302,27674.9872",93,C,
O0028,"28235.0293,29645.7793",0,C,
O0028,"28235.0293,29645.7793",0,M,
P0048,"28803.4452,29531.6622",18,C,
P0048,"28803.4452,29531.6622",0,M,
P0094,"22689.5821,29040.0781",0,M,
P0094,"22689.5821,29040.0781",21,C,
P0106,"20744.5188,30443.9423",0,M,
P0106,"20744.5188,30443.9423",17,C,
P0113,"23454.3672,28648.1075",26,C,
P0113,"23454.3672,28648.1075",0,M,
P0117,"29329.7918,28882.0302",0,C,
P0117,"29329.7918,28882.0302",0,M,
S0112,"26250.1942,27838.8938",421,C,
S0112,"26250.1942,27838.8938",372,M,
Y0019,"28902.6905,28558.6655",0,M,
Y0019,"28902.6905,28558.6655",2,C,
P0054,"23324.7961,28741.2253",0,M,
P0054,"23324.7961,28741.2253",34,C,
L0104,"45138.4696,41348.5891",80,C,
L0104,"45138.4696,41348.5891",20,H,
L0104,"45138.4696,41348.5891",20,M,
J0017,"35802.2986,32360.5974",58,C,
S0150,"31034.8609,31644.3426",0,C,
J0017,"35802.2986,32360.5974",29,M,
Q0006,"30230.7932,31364.3729",0,C,
L0117,"33510.0475,33077.0824",6,C,
Q0006,"30230.7932,31364.3729",0,M,
M0076,"29734.9916,34159.4165",54,C,
M0076,"29734.9916,34159.4165",7,M,
T0140,"34984.888,32129.2842",115,C,
P0111,"31065.7404,31567.5033",0,C,
T0140,"34984.888,32129.2842",20,M,
K0111,"30218.9526,32450.3014",78,C,
L0117,"33510.0475,33077.0824",20,M,
K0111,"30218.9526,32450.3014",7,M,
D0026,"30253.4988,32024.886",37,C,
L0124,"34245.0343,33041.7438",16,C,
D0026,"30253.4988,32024.886",6,M,
K0121,"30307.4171,32100.4131",54,C,
B0087,"31011.1577,31517.0537",0,C,
K0121,"30307.4171,32100.4131",12,M,
T0103,"35511.469,32795.0198",155,C,
T0103,"35511.469,32795.0198",35,M,
L0124,"34245.0343,33041.7438",5,M,
T0141,"35074.4107,31807.0192",23,C,
T0141,"35074.4107,31807.0192",7,M,
R0038,"30106.9019,32580.1966",85,C,
L0123,"32801.8875,32837.3147",38,C,
R0038,"30106.9019,32580.1966",12,M,
L0078,"36742.91,33491.4403",22,C,
L0078,"36742.91,33491.4403",9,M,
A0046,"33394.2043,32909.1642",5,C,
L0064,"33177.6203,32903.5269",13,C,
L0116,"33252.6146,32807.3321",10,C,
L0107,"33133.035,32891.2922",11,C,
L0123,"32801.8875,32837.3147",1,M,
L0125,"33990.0091,33036.8481",19,C,
L0125,"33990.0091,33036.8481",18,M,
H0004,"23475.1478,32692.9626",72,C,
A0024,"25838.8021,34044.9773",27,C,
S0055,"31673.3236,38317.0261",37,C,
Q0008,"24532.9062,31890.3082",46,C,
M0088,"24627.6398,31419.3749",45,C,
S0106,"28305.4423,37641.7002",58,C,
J0092,"27522.4487,39479.8693",15,C,
D0028,"27035.7463,30190.3283",181,C,
P0109,"40296.1523,40726.9348",3,C,
C0119,"35357.921,32462.723",21,C,
B0088,"41565.8225,33682.3249",33,C,
S0020,"27499.7177,39363.6594",0,C,
J0122,"32413.8058,42305.5178",97,C,
N0013,"30596.2021,31417.195",36,C,
P0093,"23808.9184,28797.034",18,C,
B0063,"20005.2768,36613.7528",96,C,
N0012,"31365.1236,32045.5134",15,C,
A0011,"29730.2995,30701.2921",15,C,
B0031,"30925.4708,32933.2541",3,C,
B0032,"21665.164,35695.2402",122,C,
B0096,"21717.7944,35943.5488",22,C,
C0133,"29654.2722,30075.4067",0,C,
H0003,"31169.2716,32658.1289",0,C,
H0011,"23536.0411,32555.5183",50,C,
H0022,"28637.0785,31726.799",18,C,
H0024,"29559.0015,29869.2184",1,C,
J0055,"21507.9383,35973.7122",13,C,
K0037,"31142.4514,32510.4735",5,C,
K0039,"31186.6906,32479.9759",24,C,
M0040,"29807.0475,31944.2444",78,C,
M0059,"29585.4645,32015.8551",64,C,"29516.2662,32069.536"
M0059,"29585.4645,32015.8551",46,H,"29516.2662,32069.536"
P0013,"29655.252,28623.257",58,C,
P0033,"41707.7337,39880.7452",330,C,
P0075,"31277.0796,32478.0378",12,C,
T0017,"27034.247,29927.8861",19,C,
T0129,"34890.0649,33240.6285",251,C,
U0036,"38320.451,32726.3989",51,C,
U0042,"40592.3344,34925.3316",0,C,
V0007,"30538.5355,32514.5247",1,C,
W0029,"21111.8896,30225.541",64,C,
W0055,"23868.7083,32598.1363",0,C,
M0084,"29797.8344,28569.8125",40,C,
